method,R2,RMSE_RANGE,MAE_RANGE,QICE
TabICL_6M_DDPM500_repeats100,0.5936 +- 0.0805,0.1334 +- 0.0159,0.0978 +- 0.0136,0.0256 +- 0.0036
TabICL_6M_DDIM10_repeats100,0.5911 +- 0.0794,0.1343 +- 0.0156,0.0980 +- 0.0133,0.0429 +- 0.0056
nanoTabPFN_6M,0.5740 +- 0.0847,0.1349 +- 0.0162,0.0981 +- 0.0140,0.0259 +- 0.0016
TabPFN_v2_official,0.6407 +- 0.0763,0.1236 +- 0.0159,0.0896 +- 0.0133,0.0211 +- 0.0025
TabPFN_v3_official,0.6616 +- 0.0737,0.1191 +- 0.0157,0.0867 +- 0.0132,0.0198 +- 0.0026
ngboost,0.5215 +- 0.0920,0.1451 +- 0.0174,0.1084 +- 0.0147,0.0441 +- 0.0025
catboost,0.5102 +- 0.0963,0.1477 +- 0.0170,0.1067 +- 0.0146,0.1093 +- 0.0034
xgboost,0.4935 +- 0.1042,0.1496 +- 0.0176,0.1107 +- 0.0155,0.0768 +- 0.0020
gaussian_process,0.4320 +- 0.0894,0.1634 +- 0.0157,0.1206 +- 0.0134,0.0298 +- 0.0040
conformal_quantile,0.4845 +- 0.1044,0.1521 +- 0.0179,0.1122 +- 0.0153,0.0221 +- 0.0015
