rows,method,R2,RMSE_RANGE,MAE_RANGE,QICE
500,Diffusion_DDPM500_repeats100,0.5817 +- 0.0808,0.1118 +- 0.0137,0.0819 +- 0.0115,0.0197 +- 0.0026
500,nanoTabPFN,0.6035 +- 0.0792,0.1076 +- 0.0133,0.0768 +- 0.0114,0.0267 +- 0.0028
500,ngboost,0.6074 +- 0.0765,0.1068 +- 0.0136,0.0781 +- 0.0111,0.0502 +- 0.0043
500,catboost,0.5984 +- 0.0838,0.1081 +- 0.0137,0.0766 +- 0.0114,0.1106 +- 0.0037
500,xgboost,0.5195 +- 0.0953,0.1201 +- 0.0146,0.0874 +- 0.0122,0.0705 +- 0.0018
500,gaussian_process,0.4194 +- 0.0865,0.1319 +- 0.0133,0.0973 +- 0.0112,0.0284 +- 0.0054
500,conformal_quantile,0.5308 +- 0.0874,0.1193 +- 0.0136,0.0854 +- 0.0115,0.0265 +- 0.0017
1000,Diffusion_DDPM500_repeats100,0.5860 +- 0.0810,0.1041 +- 0.0121,0.0764 +- 0.0103,0.0175 +- 0.0023
1000,nanoTabPFN,0.6141 +- 0.0759,0.0991 +- 0.0112,0.0712 +- 0.0098,0.0269 +- 0.0029
1000,ngboost,0.6645 +- 0.0666,0.0929 +- 0.0108,0.0682 +- 0.0091,0.0342 +- 0.0025
1000,catboost,0.6690 +- 0.0790,0.0901 +- 0.0115,0.0641 +- 0.0095,0.0913 +- 0.0052
1000,xgboost,0.6111 +- 0.0830,0.1000 +- 0.0117,0.0722 +- 0.0099,0.0617 +- 0.0024
1000,gaussian_process,0.4460 +- 0.1003,0.1159 +- 0.0135,0.0864 +- 0.0110,0.0286 +- 0.0069
1000,conformal_quantile,0.5955 +- 0.0847,0.1027 +- 0.0117,0.0734 +- 0.0099,0.0256 +- 0.0022
