context_ratio,method,R2,RMSE_RANGE,MAE_RANGE,QICE
5%,Diffusion_DDPM500_repeats100,-0.1404 +- 0.0212,0.2551 +- 0.0076,0.1967 +- 0.0090,0.0439 +- 0.0039
5%,nanoTabPFN,-0.0106 +- 0.0958,0.2304 +- 0.0143,0.1736 +- 0.0142,0.0562 +- 0.0044
5%,ngboost,-0.2548 +- 0.1152,0.2584 +- 0.0161,0.1923 +- 0.0159,0.1584 +- 0.0008
5%,catboost,-0.0768 +- 0.0728,0.2422 +- 0.0099,0.1799 +- 0.0103,0.1118 +- 0.0036
5%,xgboost,-0.2849 +- 0.1071,0.2637 +- 0.0150,0.1958 +- 0.0147,0.0634 +- 0.0027
5%,gaussian_process,-0.0605 +- 0.0740,0.2401 +- 0.0110,0.1806 +- 0.0119,0.0395 +- 0.0035
5%,conformal_quantile,-0.2849 +- 0.1071,0.2637 +- 0.0150,0.1958 +- 0.0147,0.0623 +- 0.0028
10%,Diffusion_DDPM500_repeats100,0.0091 +- 0.0280,0.2369 +- 0.0070,0.1844 +- 0.0077,0.0465 +- 0.0043
10%,nanoTabPFN,0.1541 +- 0.1049,0.2079 +- 0.0149,0.1526 +- 0.0141,0.0517 +- 0.0030
10%,ngboost,0.0339 +- 0.1253,0.2189 +- 0.0154,0.1627 +- 0.0148,0.1569 +- 0.0011
10%,catboost,0.1843 +- 0.0603,0.2108 +- 0.0104,0.1563 +- 0.0107,0.1039 +- 0.0046
10%,xgboost,-0.0124 +- 0.0876,0.2336 +- 0.0129,0.1737 +- 0.0129,0.0642 +- 0.0024
10%,gaussian_process,0.1687 +- 0.0623,0.2107 +- 0.0110,0.1587 +- 0.0107,0.0299 +- 0.0029
10%,conformal_quantile,-0.1343 +- 0.0837,0.2493 +- 0.0119,0.1887 +- 0.0127,0.0512 +- 0.0028
20%,Diffusion_DDPM500_repeats100,0.2406 +- 0.0563,0.2029 +- 0.0092,0.1539 +- 0.0097,0.0473 +- 0.0033
20%,nanoTabPFN,0.3232 +- 0.1013,0.1795 +- 0.0158,0.1315 +- 0.0144,0.0557 +- 0.0023
20%,ngboost,0.2775 +- 0.1131,0.1862 +- 0.0177,0.1394 +- 0.0157,0.1429 +- 0.0031
20%,catboost,0.3140 +- 0.0767,0.1878 +- 0.0122,0.1372 +- 0.0121,0.1167 +- 0.0043
20%,xgboost,0.1056 +- 0.0919,0.2151 +- 0.0132,0.1610 +- 0.0128,0.0771 +- 0.0017
20%,gaussian_process,0.3413 +- 0.0795,0.1824 +- 0.0148,0.1380 +- 0.0132,0.0273 +- 0.0024
20%,conformal_quantile,0.0640 +- 0.1008,0.2187 +- 0.0149,0.1651 +- 0.0143,0.0426 +- 0.0032
50%,Diffusion_DDPM500_repeats100,0.5147 +- 0.0840,0.1492 +- 0.0153,0.1098 +- 0.0136,0.0223 +- 0.0013
50%,nanoTabPFN,0.4885 +- 0.0927,0.1511 +- 0.0160,0.1087 +- 0.0142,0.0319 +- 0.0014
50%,ngboost,0.4589 +- 0.0963,0.1559 +- 0.0174,0.1164 +- 0.0149,0.1025 +- 0.0052
50%,catboost,0.4354 +- 0.0879,0.1641 +- 0.0151,0.1186 +- 0.0138,0.1261 +- 0.0025
50%,xgboost,0.2860 +- 0.1080,0.1866 +- 0.0160,0.1395 +- 0.0147,0.0828 +- 0.0019
50%,gaussian_process,0.4199 +- 0.0803,0.1691 +- 0.0153,0.1258 +- 0.0137,0.0307 +- 0.0046
50%,conformal_quantile,0.2773 +- 0.1141,0.1865 +- 0.0166,0.1399 +- 0.0152,0.0321 +- 0.0016
