experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,abalone,0.419142404,0.05692576249,0.1836575755,0.009472515253,0.1381949842,0.008031976411,0.024,0.001095445115,1.946443635,0.1056588113,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,airfoil_self_noise,0.5432607126,0.07887393283,0.1543567925,0.01387491688,0.1207507177,0.01142002284,0.018,0.004098780306,1.831189238,0.05889324463,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,auction_verification,0.8830973216,0.02914936133,0.1004215282,0.01507522524,0.04972291335,0.00721729106,0.047,0.006723094526,0.3699914312,0.01147687831,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,boston,0.851202046,0.03224967399,0.08821742412,0.01155007751,0.05873100445,0.005682257994,0.014,0.005176871642,0.8660179497,0.07614404838,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,cars,0.9014367763,0.01062915543,0.07437856265,0.005590755984,0.04963621677,0.004063033828,0.017,0.005761944116,0.7411612097,0.05880595419,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,concrete_compressive_strength,0.8193842816,0.01229942059,0.1064424565,0.004758298797,0.08167535437,0.003300729421,0.014,0.005176871642,1.260119525,0.09587030449,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,cpu_activity,0.9776839916,0.003931872461,0.02860438007,0.001535547107,0.02010463531,0.0008508342655,0.032,0.004979959839,0.3188708402,0.03280212685,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,energy_efficiency,0.9223425425,0.02167507253,0.08223365295,0.01000454869,0.05327078171,0.005641164668,0.026,0.003633180425,0.558083177,0.03195058908,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,grid_stability,0.7171107594,0.02379779629,0.141075148,0.005729470781,0.111574847,0.005778408739,0.016,0.005215361924,1.542855227,0.02366507339,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
ex2_rows200_scaling,1.5M,Diffusion_DDPM500_repeats100,kin8nm,0.3786190453,0.04107749492,0.19351181,0.009467153353,0.1478847342,0.007455378525,0.021,0.001673320053,2.105366561,0.07776444834,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20.json,TabICL_regression03/runs/1.5M/step-120000_ddpm500_rows200_repeats100_from200_first100_parallel20_bins10-uncertainty.json,
