experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,abalone,0.4849777164,0.02141776917,0.1192458127,0.001649502563,0.08507315947,0.002094992746,0.0152,0.003676955262,2.003855688,0.06695026473,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,airfoil_self_noise,0.6450304549,0.02238312634,0.1170377423,0.007959642066,0.0880038718,0.006163810442,0.0244,0.003959797975,2.190345946,0.07724935751,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,auction_verification,0.9036570524,0.008849644791,0.07759719331,0.005270934124,0.03176630302,0.001776155382,0.0384,0.00113137085,0.4253995166,0.02642956226,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,boston,0.8176044312,0.02074170119,0.08944546092,0.005412685945,0.0562797736,0.002890383556,0.0136,0.0005656854249,0.9491483111,0.01409332232,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,cars,0.922348366,0.003532767511,0.04700701238,0.0005677558489,0.03526277244,0.0006087355654,0.008,0.002828427125,0.8042786698,0.04641792888,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,concrete_compressive_strength,0.8278813072,0.006600054909,0.08936818524,0.0005124927403,0.06861775653,0.001232745056,0.0136,0.001979898987,1.289040629,0.04654658513,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,cpu_activity,0.9671437748,0.004872899573,0.02987100032,0.002872049601,0.02140515029,0.001414749309,0.0136,0.00113137085,0.5014937449,0.01485294012,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,energy_efficiency,0.9898905302,0.001421108148,0.02761776122,0.001043631824,0.0176810194,0.0002538119197,0.0328,0.0005656854249,0.1859105246,0.007887050904,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,grid_stability,0.6971841122,0.002826432486,0.1217039592,0.002220283914,0.09893838575,0.0003601059163,0.0164,0.001697056275,1.960626941,0.09870774502,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
ex3-1_rows500_rows1000,500,Diffusion_DDPM500_repeats100,kin8nm,0.2888271703,0.004653697262,0.1852195992,0.002622377088,0.1515771353,0.003102256326,0.014,0.001697056275,2.727287125,0.086049157,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold.json,TabICL_regression03/runs/6M/step-120000_ddpm500_rows500_repeats100_adaptive_parallel100_2fold_bins10-uncertainty.json,
