experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,abalone,0.05561661513,0.04853609379,0.2363947336,0.01050521768,0.1830081572,0.008281949705,0.047,0.007293833012,5.333294281,0.8104717037,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,airfoil_self_noise,-0.1406267123,0.04868975737,0.2475137379,0.01178868523,0.1988105011,0.01444467255,0.036,0.003033150178,5.067998642,0.6994652973,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,auction_verification,-0.1193383731,0.03226473313,0.3213667153,0.01129126213,0.2333905302,0.01379592679,0.077,0.005215361924,3.977881075,0.9262552301,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,boston,-0.1429971483,0.07898018775,0.2504978359,0.01370422737,0.1806562385,0.008647003997,0.054,0.00692820323,4.616260743,0.5944554918,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,cars,-0.1676354362,0.0665717633,0.2588489608,0.01689897049,0.1828054601,0.01711604432,0.058,0.009899494937,5.292223254,1.450152696,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,concrete_compressive_strength,-0.2121877553,0.154018262,0.2771678637,0.02518844808,0.2241295471,0.0221643171,0.035,0.008555699854,5.226228735,0.8970348218,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,cpu_activity,-0.04227562751,0.01661372537,0.2051871747,0.01558984414,0.109359466,0.01216317782,0.066,0.01148912529,3.429502583,0.7465459593,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,energy_efficiency,0.04346541565,0.08900546677,0.3031961263,0.01863004742,0.2664199471,0.01509759421,0.047,0.006,4.887415068,0.4638165133,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,grid_stability,-0.229919928,0.08863916632,0.2954997793,0.01506854988,0.2477689059,0.01225003757,0.03,0.0045607017,4.798734044,0.3735668261,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
ex3-3_context_ratio,5%,Diffusion_DDPM500_repeats100,kin8nm,-0.1080606483,0.04763920395,0.2586840859,0.01050648667,0.2116893399,0.0107355724,0.045,0.004979959839,5.494366151,0.3926899255,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold.json,TabICL_regression03/runs/6M/context_ratio_ddpm500_repeats100/step-120000_ddpm500_rows200_repeats100_ctx05pct_5fold_bins10-uncertainty.json,
