experiment,condition,method,dataset,R2,R2_SE,RMSE_RANGE,RMSE_RANGE_SE,MAE_RANGE,MAE_RANGE_SE,QICE,QICE_SE,NMPIW,NMPIW_SE,source_json,uncertainty_json,source_note
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,abalone,0.465619259,0.03183887551,0.1769114047,0.003762016225,0.1296498685,0.003590844119,0.028,0.002,1.626456629,0.07975054417,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,airfoil_self_noise,0.7035159231,0.0446089515,0.1232415057,0.008962557848,0.08910907502,0.006771759459,0.024,0.003033150178,1.271771999,0.04610657511,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,auction_verification,0.8840748127,0.02550501804,0.1009915439,0.01357750511,0.04923008274,0.006258668272,0.075,0.007155417528,0.3728532377,0.01912640567,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,boston,0.8485794655,0.03014251729,0.08924960809,0.01062331025,0.06061934556,0.005272075903,0.041,0.004774934555,0.6091275505,0.03542848368,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,cars,0.9068798543,0.02031514215,0.07098054227,0.00866443599,0.04714560306,0.005204527812,0.062,0.003033150178,0.4701678405,0.0428293023,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,concrete_compressive_strength,0.7890907831,0.03418650266,0.1127943156,0.005329360768,0.08528030733,0.003807464089,0.033,0.00219089023,1.058904195,0.07911713005,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,cpu_activity,0.9603636266,0.01694572075,0.03478477479,0.004958866232,0.02130538539,0.001852804397,0.067,0.006,0.2256115285,0.02317526736,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,energy_efficiency,0.9807621057,0.005867529586,0.04093603781,0.005166025277,0.02614211686,0.00275376257,0.083,0.006782329983,0.1556694205,0.01662252432,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,grid_stability,0.7966443555,0.02092077668,0.1188021947,0.004274493558,0.09200206922,0.003644828401,0.026,0.002,1.287264214,0.01681969761,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,kin8nm,0.3859659962,0.05400126338,0.1925246798,0.01276956134,0.1487620752,0.009740885276,0.025,0.004147288271,1.921514596,0.08595358028,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,Moneyball,0.9329718378,0.008964754864,0.05851552362,0.004087978107,0.04516810041,0.003312413812,0.045,0.002607680962,0.5123757218,0.02947183911,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,pumadyn32nh,0.122227496,0.01679042641,0.1999710182,0.005757736894,0.163410292,0.005892969375,0.02,0.002683281573,2.613305687,0.1900682761,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,QSAR_fish_toxicity,0.4882522048,0.06647375747,0.1451553343,0.008398231118,0.1027197777,0.005041598226,0.031,0.00219089023,1.416566233,0.09737364552,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,quake,-0.07079289283,0.01376843276,0.2781788521,0.01092821217,0.2223853746,0.01029943014,0.027,0.00228035085,2.504358083,0.1720247332,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,sensory,0.06867739979,0.01963204038,0.2372876211,0.01044376469,0.1881092943,0.0111508179,0.033,0.006418722614,2.525873235,0.1856064043,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,socmob,0.722887163,0.08941405801,0.09297328491,0.02233629011,0.03849437316,0.01124916591,0.103,0.009099450533,0.3008767745,0.06375117881,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,space_ga,0.5872944306,0.03885680325,0.1515857885,0.01005127525,0.1155745795,0.01129529065,0.03,0.008294576541,1.479320182,0.09480302949,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM10_repeats100,student_performance,0.06726611668,0.04183741702,0.1931724616,0.01104077966,0.1392509447,0.01136558509,0.02,0.002607680962,2.154115611,0.1101346396,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100.json,TabICL_regression03/runs/6M/step-120000_ddim10_repeats100_from200_first100_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,abalone,0.4808465548,0.03473850443,0.1742581732,0.004852950982,0.1290411222,0.004908399439,0.02,0.00316227766,1.839619479,0.07881764552,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,airfoil_self_noise,0.7044300289,0.04226388316,0.1235352013,0.008440043069,0.08864936316,0.006295407422,0.019,0.001673320053,1.488211792,0.05832676752,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,auction_verification,0.8834713691,0.02301327103,0.1017796044,0.01215617571,0.04945574931,0.006038869908,0.06,0.008074651695,0.4285797808,0.02322180004,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,boston,0.8483480306,0.0293219892,0.08946815106,0.01044011391,0.0601374717,0.004974555402,0.025,0.003286335345,0.7526857665,0.05558657032,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,cars,0.9135927268,0.01481715489,0.06858501404,0.006432024502,0.04527862003,0.004241136837,0.039,0.003033150178,0.553402263,0.0477467454,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,concrete_compressive_strength,0.787824614,0.04278939577,0.111841923,0.005892216704,0.08560459211,0.004130313171,0.018,0.00438178046,1.202485909,0.08561588775,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
ex4_ddim_steps_ddpm500,rows200,TabICL_6M_DDIM50_repeats100,cpu_activity,0.9671259,0.009471533392,0.03366621027,0.002940586996,0.02141710295,0.001321377284,0.035,0.005477225575,0.3336036864,0.02453972384,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold.json,TabICL_regression03/runs/6M/DDIM/step-120000_ddim50_rows200_repeats100_adaptive_parallel100_5fold_bins10-uncertainty.json,
