dataset,nanoTabPFN_6M,TabICL_ddpm500_repeats100,ngboost,catboost,xgboost,gaussian_process,conformal_quantile
abalone,1.65773,1.63668,1.83392,1.77017,2.0042,2.17201,1.96135
airfoil_self_noise,2.3153,2.57028,2.8633,2.42562,3.00436,3.97927,2.89708
auction_verification,1667.6,1722.85,1874.79,2195.55,2349.55,5301.09,2485.36
boston,2.34648,2.36685,2.35725,2.46759,2.88991,2.87615,3.02003
cars,1729.62,1629.12,1889.28,1850.41,2395.9,1762.51,2090.39
concrete_compressive_strength,4.30555,4.97113,5.59287,4.77823,6.76336,5.37053,7.08391
cpu_activity,2.47652,2.08254,2.1622,4.91863,4.95661,3.34782,5.2478
energy_efficiency,0.648009,0.74798,0.606832,0.644639,1.14161,1.98907,1.01493
grid_stability,0.0112847,0.0124522,0.0155762,0.015956,0.0210156,0.0131463,0.0201249
kin8nm,0.156283,0.151448,0.166199,0.15591,0.157246,0.140578,0.166172
Moneyball,17.3359,17.9214,20.0181,20.5955,25.191,16.2931,21.7504
pumadyn32nh,0.0263463,0.0241416,0.0256661,0.0262156,0.0282178,0.0264078,0.0293135
QSAR_fish_toxicity,0.689771,0.703177,0.726047,0.72593,0.773348,0.796209,0.729814
quake,0.157698,0.157307,0.184842,0.190209,0.216755,0.155019,0.202644
sensory,0.630489,0.611181,0.630926,0.688897,0.750725,0.617552,0.698475
socmob,11.0283,8.42283,10.005,9.95246,12.7269,16.4704,15.9915
space_ga,0.104478,0.0996346,0.112112,0.112854,0.112547,0.162945,0.11956
student_performance,2.19545,2.25449,2.47481,2.25796,2.52314,2.44974,2.36908
