dataset,nanoTabPFN_6M,TabICL_ddpm500_repeats100,ngboost,catboost,xgboost,gaussian_process,conformal_quantile
abalone,0.027000,0.014000,0.076000,0.113000,0.076000,0.035000,0.021000
airfoil_self_noise,0.034000,0.021000,0.062000,0.119000,0.070000,0.028000,0.022000
auction_verification,0.026000,0.049000,0.030000,0.109000,0.078000,0.052000,0.036000
boston,0.025000,0.020000,0.089000,0.120000,0.079000,0.023000,0.033000
cars,0.019000,0.031000,0.053000,0.123000,0.077000,0.019000,0.021000
concrete_compressive_strength,0.027000,0.007000,0.067000,0.110000,0.069000,0.021000,0.033000
cpu_activity,0.022000,0.027000,0.091000,0.119000,0.062000,0.038000,0.036000
energy_efficiency,0.019000,0.043000,0.031000,0.119000,0.081000,0.027000,0.030000
grid_stability,0.030000,0.011000,0.086000,0.134000,0.065000,0.016000,0.032000
kin8nm,0.025000,0.019000,0.077000,0.134000,0.067000,0.015000,0.022000
Moneyball,0.018000,0.018000,0.093000,0.110000,0.080000,0.017000,0.017000
pumadyn32nh,0.017000,0.015000,0.090000,0.148000,0.078000,0.019000,0.025000
QSAR_fish_toxicity,0.028000,0.027000,0.055000,0.113000,0.069000,0.014000,0.017000
quake,0.044000,0.034000,0.074000,0.119000,0.079000,0.081000,0.022000
sensory,0.035000,0.017000,0.053000,0.151000,0.093000,0.057000,0.029000
socmob,0.029000,0.070000,0.049000,0.131000,0.090000,0.030000,0.030000
space_ga,0.022000,0.014000,0.072000,0.115000,0.071000,0.026000,0.026000
student_performance,0.020000,0.023000,0.072000,0.134000,0.074000,0.019000,0.018000
