dataset,nanoTabPFN_6M,TabICL_ddpm500_repeats100,ngboost,catboost,xgboost,gaussian_process,conformal_quantile
abalone,2.19132,2.20176,2.44112,2.39615,2.50133,2.93221,2.58743
airfoil_self_noise,3.20666,3.59536,3.64158,3.35593,3.93797,5.19727,3.77656
auction_verification,3578.46,3501.98,3350.26,4001.16,4065.81,7411.63,4308.35
boston,3.55416,3.53433,3.37404,3.61567,3.79868,4.36637,4.13791
cars,2717.4,2486.04,2894.38,3067.78,3446.84,2610.56,3288.46
concrete_compressive_strength,5.94368,6.59117,7.44435,6.65203,8.91594,7.10298,9.23189
cpu_activity,4.49986,3.15968,3.05223,10.4862,10.0949,7.1132,10.9764
energy_efficiency,1.01949,1.18068,0.886634,0.962701,1.67357,2.80648,1.49298
grid_stability,0.0144504,0.0159526,0.0193134,0.0195906,0.0261096,0.0171299,0.0245786
kin8nm,0.196612,0.195825,0.213411,0.199614,0.20693,0.175141,0.210779
Moneyball,21.467,22.5788,25.8397,26.8466,32.0674,20.1554,28.0651
pumadyn32nh,0.0332407,0.0296207,0.0317659,0.0326424,0.0345707,0.0330667,0.0356133
QSAR_fish_toxicity,0.968258,0.976491,1.00452,1.00611,1.05928,1.06492,1.02092
quake,0.193473,0.196961,0.230522,0.238035,0.263548,0.190123,0.255393
sensory,0.815052,0.769789,0.8037,0.84269,0.931407,0.797109,0.874261
socmob,40.556,21.6151,26.432,26.1047,31.3936,40.0174,38.6455
space_ga,0.139475,0.131576,0.147358,0.149112,0.150369,0.2082,0.16427
student_performance,3.13496,3.15693,3.31696,3.22526,3.45376,3.33334,3.23757
